state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Ohio,Adams,39001,9870,2156,12145,81.27%,17.75%,99.02%,RIGHT,27698
Ohio,Allen,39003,33116,14149,48099,68.85%,29.42%,98.27%,RIGHT,102351
Ohio,Ashland,39005,19407,6541,26405,73.50%,24.77%,98.27%,RIGHT,53484
Ohio,Ashtabula,39007,26890,16497,44237,60.79%,37.29%,98.08%,RIGHT,97241
Ohio,Athens,39009,10862,14772,26120,41.58%,56.55%,98.14%,LEFT,65327
Ohio,Auglaize,39011,20798,4651,25822,80.54%,18.01%,98.56%,RIGHT,45656
Ohio,Belmont,39013,23560,9138,33141,71.09%,27.57%,98.66%,RIGHT,67006
Ohio,Brown,39015,16480,4380,21139,77.96%,20.72%,98.68%,RIGHT,43432
Ohio,Butler,39017,114392,69613,186675,61.28%,37.29%,98.57%,RIGHT,383134
Ohio,Carroll,39019,10745,3251,14233,75.49%,22.84%,98.33%,RIGHT,26914
Ohio,Champaign,39021,14589,5062,20003,72.93%,25.31%,98.24%,RIGHT,38885
Ohio,Clark,39023,39032,24076,64351,60.65%,37.41%,98.07%,RIGHT,134083
Ohio,Clermont,39025,74570,34092,110710,67.36%,30.79%,98.15%,RIGHT,206428
Ohio,Clinton,39027,15488,4697,20563,75.32%,22.84%,98.16%,RIGHT,41968
Ohio,Columbiana,39029,35726,13359,49960,71.51%,26.74%,98.25%,RIGHT,101883
Ohio,Coshocton,39031,12325,4125,16768,73.50%,24.60%,98.10%,RIGHT,36600
Ohio,Crawford,39033,15436,4916,20713,74.52%,23.73%,98.26%,RIGHT,41494
Ohio,Cuyahoga,39035,202699,416176,627160,32.32%,66.36%,98.68%,LEFT,1235072
Ohio,Darke,39037,22003,4731,27160,81.01%,17.42%,98.43%,RIGHT,51113
Ohio,Defiance,39039,13038,5981,19381,67.27%,30.86%,98.13%,RIGHT,38087
Ohio,Delaware,39041,66356,57735,126318,52.53%,45.71%,98.24%,RIGHT,209177
Ohio,Erie,39043,22160,17493,40416,54.83%,43.28%,98.11%,RIGHT,74266
Ohio,Fairfield,39045,49714,30634,81564,60.95%,37.56%,98.51%,RIGHT,157574
Ohio,Fayette,39047,9473,2975,12626,75.03%,23.56%,98.59%,RIGHT,28525
Ohio,Franklin,39049,211237,409144,632532,33.40%,64.68%,98.08%,LEFT,1316756
Ohio,Fulton,39051,15731,6664,22801,68.99%,29.23%,98.22%,RIGHT,42126
Ohio,Gallia,39053,10645,2990,13799,77.14%,21.67%,98.81%,RIGHT,29898
Ohio,Geauga,39055,34143,21201,56021,60.95%,37.84%,98.79%,RIGHT,93649
Ohio,Greene,39057,52072,34798,88643,58.74%,39.26%,98.00%,RIGHT,168937
Ohio,Guernsey,39059,13407,4577,18264,73.41%,25.06%,98.47%,RIGHT,38875
Ohio,Hamilton,39061,177886,246266,430929,41.28%,57.15%,98.43%,LEFT,817473
Ohio,Hancock,39063,26310,11757,38771,67.86%,30.32%,98.18%,RIGHT,75783
Ohio,Hardin,39065,9949,3062,13247,75.10%,23.11%,98.22%,RIGHT,31365
Ohio,Harrison,39067,5792,1768,7663,75.58%,23.07%,98.66%,RIGHT,15040
Ohio,Henry,39069,10479,4062,14788,70.86%,27.47%,98.33%,RIGHT,27006
Ohio,Highland,39071,15678,3799,19676,79.68%,19.31%,98.99%,RIGHT,43161
Ohio,Hocking,39073,9737,3880,13855,70.28%,28.00%,98.28%,RIGHT,28264
Ohio,Holmes,39075,10796,1994,12978,83.19%,15.36%,98.55%,RIGHT,43960
Ohio,Huron,39077,18956,7759,27190,69.72%,28.54%,98.25%,RIGHT,58266
Ohio,Jackson,39079,11309,3311,14810,76.36%,22.36%,98.72%,RIGHT,32413
Ohio,Jefferson,39081,22828,10018,33370,68.41%,30.02%,98.43%,RIGHT,65325
