state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Colorado,Adams,8001,95657,134202,236735,40.41%,56.69%,97.10%,LEFT,517421
Colorado,Alamosa,8003,3813,3759,7808,48.83%,48.14%,96.98%,RIGHT,16233
Colorado,Arapahoe,8005,127323,213607,350183,36.36%,61.00%,97.36%,LEFT,656590
Colorado,Archuleta,8007,5189,3738,9144,56.75%,40.88%,97.63%,RIGHT,14029
Colorado,Baca,8009,1867,317,2225,83.91%,14.25%,98.16%,RIGHT,3581
Colorado,Bent,8011,1503,732,2274,66.09%,32.19%,98.28%,RIGHT,5577
Colorado,Boulder,8013,42501,159089,206111,20.62%,77.19%,97.81%,LEFT,326196
Colorado,Broomfield,8014,16295,29077,46632,34.94%,62.35%,97.30%,LEFT,70465
Colorado,Chaffee,8015,6222,7160,13717,45.36%,52.20%,97.56%,LEFT,20356
Colorado,Cheyenne,8017,993,131,1136,87.41%,11.53%,98.94%,RIGHT,1831
Colorado,Clear Creek,8019,2754,3604,6548,42.06%,55.04%,97.10%,LEFT,9700
Colorado,Conejos,8021,2286,1959,4333,52.76%,45.21%,97.97%,RIGHT,8205
Colorado,Costilla,8023,741,1311,2094,35.39%,62.61%,97.99%,LEFT,3887
Colorado,Crowley,8025,1271,437,1750,72.63%,24.97%,97.60%,RIGHT,6061
Colorado,Custer,8027,2474,1112,3634,68.08%,30.60%,98.68%,RIGHT,5068
Colorado,Delta,8029,13081,5887,19370,67.53%,30.39%,97.92%,RIGHT,31162
Colorado,Denver,8031,71617,313292,393824,18.19%,79.55%,97.74%,LEFT,727211
Colorado,Dolores,8033,1089,341,1449,75.16%,23.53%,98.69%,RIGHT,2055
Colorado,Douglas,8035,121270,104653,231599,52.36%,45.19%,97.55%,RIGHT,351154
Colorado,Eagle,8037,9892,18588,29140,33.95%,63.79%,97.74%,LEFT,55127
Colorado,Elbert,8039,14027,4490,18983,73.89%,23.65%,97.55%,RIGHT,26729
Colorado,El Paso,8041,202828,161941,378849,53.54%,42.75%,96.28%,RIGHT,720403
Colorado,Fremont,8043,17517,7369,25557,68.54%,28.83%,97.37%,RIGHT,47839
Colorado,Garfield,8045,14717,15427,30904,47.62%,49.92%,97.54%,LEFT,60061
Colorado,Gilpin,8047,1833,2223,4186,43.79%,53.11%,96.89%,LEFT,6243
Colorado,Grand,8049,4883,4710,9870,49.47%,47.72%,97.19%,RIGHT,15734
Colorado,Gunnison,8051,3599,6976,10887,33.06%,64.08%,97.13%,LEFT,17462
Colorado,Hinsdale,8053,353,255,632,55.85%,40.35%,96.20%,RIGHT,820
Colorado,Huerfano,8055,2203,2076,4406,50.00%,47.12%,97.12%,RIGHT,6897
Colorado,Jackson,8057,681,175,876,77.74%,19.98%,97.72%,RIGHT,1392
Colorado,Jefferson,8059,148417,218396,377357,39.33%,57.88%,97.21%,LEFT,582881
Colorado,Kiowa,8061,795,98,903,88.04%,10.85%,98.89%,RIGHT,1406
Colorado,Kit Carson,8063,3144,662,3871,81.22%,17.10%,98.32%,RIGHT,7097
Colorado,Lake,8065,1497,2303,3961,37.79%,58.14%,95.94%,LEFT,8127
