State,FIPS,total facilities
New York,36003,1
New York,36005,4
New York,36007,3
New York,36009,1
New York,36011,4
New York,36013,3
New York,36015,3
New York,36017,1
New York,36019,4
New York,36021,2
New York,36023,2
New York,36025,2
New York,36027,7
New York,36029,8
New York,36031,5
New York,36033,6
New York,36035,3
New York,36037,3
New York,36039,3
New York,36041,1
New York,36043,1
New York,36045,3
New York,36047,6
New York,36049,1
New York,36051,2
New York,36053,3
New York,36055,5
New York,36057,1
New York,36059,2
New York,36061,5
New York,36063,1
New York,36065,5
New York,36067,3
New York,36069,1
New York,36071,7
New York,36073,3
New York,36075,1
New York,36077,1
New York,36079,2
New York,36081,3
New York,36083,2
New York,36085,2
New York,36087,1
New York,36089,5
New York,36091,3
New York,36093,1
New York,36095,2
New York,36097,2
New York,36099,3
New York,36101,1
New York,36103,2
New York,36105,4
New York,36107,1
New York,36109,1
New York,36111,5
New York,36113,2
New York,36115,3
New York,36117,4
New York,36119,4
New York,36121,3
New York,36123,1
