State,FIPS,total facilities
Florida,12001,3
Florida,12003,5
Florida,12005,4
Florida,12007,5
Florida,12009,2
Florida,12011,10
Florida,12013,3
Florida,12015,5
Florida,12017,1
Florida,12019,1
Florida,12021,3
Florida,12023,4
Florida,12027,7
Florida,12029,3
Florida,12031,6
Florida,12033,6
Florida,12035,2
Florida,12036,1
Florida,12037,4
Florida,12039,5
Florida,12041,2
Florida,12043,4
Florida,12045,4
Florida,12047,4
Florida,12049,2
Florida,12051,1
Florida,12053,2
Florida,12055,3
Florida,12057,6
Florida,12059,2
Florida,12061,1
Florida,12063,11
Florida,12065,3
Florida,12067,3
Florida,12069,3
Florida,12071,3
Florida,12073,5
Florida,12075,3
Florida,12077,3
Florida,12079,2
Florida,12081,3
Florida,12083,10
Florida,12085,4
Florida,12086,20
Florida,12087,3
Florida,12089,1
Florida,12091,3
Florida,12093,3
Florida,12095,6
Florida,12097,4
Florida,12099,8
Florida,12101,2
Florida,12103,7
Florida,12105,7
Florida,12107,2
Florida,12109,1
Florida,12111,2
Florida,12113,6
Florida,12115,1
Florida,12117,1
Florida,12119,7
Florida,12121,3
Florida,12123,5
Florida,12125,7
Florida,12127,6
Florida,12129,4
Florida,12131,2
Florida,12133,4
