State,FIPS,total facilities
Nebraska,31001,1
Nebraska,31003,1
Nebraska,31011,1
Nebraska,31013,1
Nebraska,31019,1
Nebraska,31023,1
Nebraska,31025,1
Nebraska,31027,1
Nebraska,31031,1
Nebraska,31033,1
Nebraska,31035,1
Nebraska,31041,1
Nebraska,31043,1
Nebraska,31045,1
Nebraska,31047,1
Nebraska,31051,1
Nebraska,31053,1
Nebraska,31055,5
Nebraska,31059,1
Nebraska,31061,1
Nebraska,31063,2
Nebraska,31065,1
Nebraska,31067,1
Nebraska,31079,2
Nebraska,31081,1
Nebraska,31083,1
Nebraska,31087,1
Nebraska,31089,1
Nebraska,31095,1
Nebraska,31097,1
Nebraska,31099,1
Nebraska,31101,1
Nebraska,31105,1
Nebraska,31107,1
Nebraska,31109,8
Nebraska,31111,1
Nebraska,31119,1
Nebraska,31121,1
Nebraska,31123,1
Nebraska,31127,1
Nebraska,31131,1
Nebraska,31137,1
Nebraska,31139,1
Nebraska,31141,1
Nebraska,31143,1
Nebraska,31145,1
Nebraska,31147,1
Nebraska,31151,1
Nebraska,31153,1
Nebraska,31155,1
Nebraska,31157,1
Nebraska,31159,1
Nebraska,31161,1
Nebraska,31169,1
Nebraska,31173,1
Nebraska,31175,1
Nebraska,31177,1
Nebraska,31181,1
Nebraska,31185,2
