state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Michigan,Alcona,26001,4848,2142,7063,68.64%,30.33%,98.97%,RIGHT,10405
Michigan,Alger,26003,3014,2053,5135,58.70%,39.98%,98.68%,RIGHT,9108
Michigan,Allegan,26005,41392,24449,67195,61.60%,36.39%,97.98%,RIGHT,118081
Michigan,Alpena,26007,10686,6000,16966,62.98%,35.36%,98.35%,RIGHT,28405
Michigan,Antrim,26009,9748,5960,15969,61.04%,37.32%,98.37%,RIGHT,23324
Michigan,Arenac,26011,5928,2774,8831,67.13%,31.41%,98.54%,RIGHT,14883
Michigan,Baraga,26013,2512,1478,4036,62.24%,36.62%,98.86%,RIGHT,8209
Michigan,Barry,26015,23471,11797,35905,65.37%,32.86%,98.23%,RIGHT,61550
Michigan,Bay,26017,33125,26151,60253,54.98%,43.40%,98.38%,RIGHT,103126
Michigan,Benzie,26019,6601,5480,12260,53.84%,44.70%,98.54%,RIGHT,17766
Michigan,Berrien,26021,43519,37438,82379,52.83%,45.45%,98.27%,RIGHT,153401
Michigan,Branch,26023,14064,6159,20536,68.48%,29.99%,98.48%,RIGHT,43517
Michigan,Calhoun,26025,36221,28877,66276,54.65%,43.57%,98.22%,RIGHT,134159
Michigan,Cass,26027,16699,9130,26242,63.63%,34.79%,98.43%,RIGHT,51787
Michigan,Charlevoix,26029,9841,6939,17000,57.89%,40.82%,98.71%,RIGHT,26143
Michigan,Cheboygan,26031,10186,5437,15868,64.19%,34.26%,98.46%,RIGHT,25276
Michigan,Chippewa,26033,10681,6648,17671,60.44%,37.62%,98.06%,RIGHT,37349
Michigan,Clare,26035,10861,5199,16281,66.71%,31.93%,98.64%,RIGHT,30950
Michigan,Clinton,26037,25098,21968,47910,52.39%,45.85%,98.24%,RIGHT,79595
Michigan,Crawford,26039,5087,2672,7861,64.71%,33.99%,98.70%,RIGHT,14029
Michigan,Delta,26041,13207,7606,21156,62.43%,35.95%,98.38%,RIGHT,35784
Michigan,Dickinson,26043,9617,4744,14589,65.92%,32.52%,98.44%,RIGHT,25239
Michigan,Eaton,26045,31798,31299,64454,49.33%,48.56%,97.89%,RIGHT,110268
Michigan,Emmet,26047,12135,9662,22176,54.72%,43.57%,98.29%,RIGHT,33415
Michigan,Genesee,26049,98714,119390,221781,44.51%,53.83%,98.34%,LEFT,405813
