State,FIPS,total facilities
Alabama,01001,1
Alabama,01003,5
Alabama,01005,3
Alabama,01007,1
Alabama,01009,1
Alabama,01011,3
Alabama,01013,1
Alabama,01015,4
Alabama,01017,1
Alabama,01019,1
Alabama,01021,1
Alabama,01023,2
Alabama,01025,1
Alabama,01027,1
Alabama,01029,1
Alabama,01031,1
Alabama,01033,1
Alabama,01035,1
Alabama,01037,1
Alabama,01039,1
Alabama,01045,5
Alabama,01049,4
Alabama,01051,8
Alabama,01053,5
Alabama,01055,2
Alabama,01057,2
Alabama,01059,2
Alabama,01061,1
Alabama,01065,2
Alabama,01067,1
Alabama,01069,2
Alabama,01071,2
Alabama,01073,14
Alabama,01075,1
Alabama,01077,1
Alabama,01079,1
Alabama,01081,1
Alabama,01083,2
Alabama,01085,1
Alabama,01087,1
Alabama,01089,3
Alabama,01091,1
Alabama,01093,3
Alabama,01095,5
Alabama,01097,3
Alabama,01099,1
Alabama,01101,7
Alabama,01103,3
Alabama,01105,1
Alabama,01107,3
Alabama,01109,1
Alabama,01111,1
Alabama,01113,1
Alabama,01115,3
Alabama,01117,3
Alabama,01121,5
Alabama,01123,1
Alabama,01125,1
Alabama,01127,4
Alabama,01129,1
Alabama,01131,1
Alabama,01133,1
