State,FIPS,total facilities
Louisiana,22001,4
Louisiana,22003,9
Louisiana,22005,1
Louisiana,22007,1
Louisiana,22009,7
Louisiana,22011,2
Louisiana,22013,1
Louisiana,22015,3
Louisiana,22017,4
Louisiana,22019,3
Louisiana,22021,2
Louisiana,22025,2
Louisiana,22027,1
Louisiana,22029,3
Louisiana,22031,1
Louisiana,22033,3
Louisiana,22035,3
Louisiana,22037,3
Louisiana,22039,3
Louisiana,22041,2
Louisiana,22043,4
Louisiana,22045,1
Louisiana,22047,2
Louisiana,22049,1
Louisiana,22051,1
Louisiana,22053,2
Louisiana,22055,1
Louisiana,22057,2
Louisiana,22059,4
Louisiana,22061,2
Louisiana,22063,1
Louisiana,22065,3
Louisiana,22067,3
Louisiana,22069,1
Louisiana,22071,5
Louisiana,22073,5
Louisiana,22075,1
Louisiana,22079,5
Louisiana,22081,1
Louisiana,22083,1
Louisiana,22085,2
Louisiana,22087,1
Louisiana,22089,1
Louisiana,22091,1
Louisiana,22093,1
Louisiana,22095,3
Louisiana,22097,3
Louisiana,22099,2
Louisiana,22101,6
Louisiana,22103,1
Louisiana,22105,2
Louisiana,22107,1
Louisiana,22109,1
Louisiana,22111,1
Louisiana,22115,2
Louisiana,22117,4
Louisiana,22119,3
Louisiana,22121,1
Louisiana,22123,1
Louisiana,22125,3
Louisiana,22127,5
