State,FIPS,total facilities
Pennsylvania,42001,1
Pennsylvania,42003,4
Pennsylvania,42005,1
Pennsylvania,42007,2
Pennsylvania,42009,1
Pennsylvania,42011,3
Pennsylvania,42013,2
Pennsylvania,42015,2
Pennsylvania,42017,2
Pennsylvania,42019,1
Pennsylvania,42021,5
Pennsylvania,42025,1
Pennsylvania,42027,4
Pennsylvania,42029,1
Pennsylvania,42031,1
Pennsylvania,42033,5
Pennsylvania,42035,2
Pennsylvania,42037,1
Pennsylvania,42039,2
Pennsylvania,42041,2
Pennsylvania,42043,2
Pennsylvania,42045,2
Pennsylvania,42047,1
Pennsylvania,42049,5
Pennsylvania,42051,3
Pennsylvania,42053,3
Pennsylvania,42055,1
Pennsylvania,42059,3
Pennsylvania,42061,5
Pennsylvania,42063,2
Pennsylvania,42065,1
Pennsylvania,42067,1
Pennsylvania,42069,3
Pennsylvania,42071,2
Pennsylvania,42073,1
Pennsylvania,42075,1
Pennsylvania,42077,3
Pennsylvania,42079,6
Pennsylvania,42081,5
Pennsylvania,42083,2
Pennsylvania,42085,3
Pennsylvania,42087,1
Pennsylvania,42089,1
Pennsylvania,42091,3
Pennsylvania,42093,1
Pennsylvania,42095,1
Pennsylvania,42097,3
Pennsylvania,42099,1
Pennsylvania,42101,9
Pennsylvania,42103,2
Pennsylvania,42105,1
Pennsylvania,42107,6
Pennsylvania,42109,1
Pennsylvania,42111,5
Pennsylvania,42115,1
Pennsylvania,42117,1
Pennsylvania,42119,4
Pennsylvania,42121,1
Pennsylvania,42123,1
Pennsylvania,42125,1
Pennsylvania,42127,4
Pennsylvania,42129,3
Pennsylvania,42131,1
Pennsylvania,42133,4
