State,FIPS,total facilities
New Mexico,35001,3
New Mexico,35003,1
New Mexico,35005,4
New Mexico,35006,6
New Mexico,35007,4
New Mexico,35009,1
New Mexico,35011,1
New Mexico,35013,2
New Mexico,35015,2
New Mexico,35017,1
New Mexico,35019,1
New Mexico,35023,1
New Mexico,35025,3
New Mexico,35027,1
New Mexico,35028,1
New Mexico,35029,1
New Mexico,35031,1
New Mexico,35035,4
New Mexico,35037,1
New Mexico,35039,2
New Mexico,35041,1
New Mexico,35043,1
New Mexico,35045,2
New Mexico,35049,4
New Mexico,35051,1
New Mexico,35053,1
New Mexico,35055,2
New Mexico,35057,1
New Mexico,35059,2
New Mexico,35061,5
