State,FIPS,total facilities
Michigan,26001,1
Michigan,26003,3
Michigan,26005,2
Michigan,26007,1
Michigan,26009,1
Michigan,26011,1
Michigan,26013,3
Michigan,26015,1
Michigan,26017,2
Michigan,26019,1
Michigan,26021,2
Michigan,26023,4
Michigan,26025,3
Michigan,26027,1
Michigan,26029,1
Michigan,26031,1
Michigan,26033,5
Michigan,26035,1
Michigan,26037,1
Michigan,26039,1
Michigan,26041,1
Michigan,26043,1
Michigan,26045,1
Michigan,26047,1
Michigan,26049,2
Michigan,26051,1
Michigan,26053,2
Michigan,26055,3
Michigan,26057,5
Michigan,26059,1
Michigan,26061,1
Michigan,26063,1
Michigan,26065,1
Michigan,26067,6
Michigan,26069,2
Michigan,26071,1
Michigan,26073,1
Michigan,26075,8
Michigan,26077,2
Michigan,26079,2
Michigan,26081,2
Michigan,26083,1
Michigan,26085,3
Michigan,26087,1
Michigan,26089,1
Michigan,26091,4
Michigan,26093,2
Michigan,26095,2
Michigan,26097,1
Michigan,26099,2
Michigan,26101,3
Michigan,26103,3
Michigan,26105,1
Michigan,26107,1
Michigan,26109,1
Michigan,26111,1
Michigan,26113,1
Michigan,26115,2
Michigan,26117,3
Michigan,26119,1
Michigan,26121,6
Michigan,26123,2
Michigan,26125,2
Michigan,26127,1
Michigan,26129,1
Michigan,26131,1
Michigan,26133,2
Michigan,26137,1
Michigan,26139,2
Michigan,26141,1
Michigan,26143,1
Michigan,26145,3
Michigan,26147,2
Michigan,26149,2
Michigan,26151,1
Michigan,26153,1
Michigan,26155,2
Michigan,26157,2
Michigan,26159,2
Michigan,26161,7
Michigan,26163,11
Michigan,26165,1
